Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Configuration,Before CI/CD,1.0.0,85,17,16331,65,4,3,0,0,16,0,44,0,0,0,2,3.980160431081991,0.2,3.823529411764706
Commons-Configuration,Before CI/CD,1.2.0,133,35,29112,201,6,15,7,1,54,0,120,0,0,0,4,6.90436933223413,0.2631578947368421,5.742857142857143
Commons-Configuration,Before CI/CD,1.4.0,227,56,50139,292,6,15,8,1,94,0,170,0,0,0,4,5.823809808731726,0.24669603524229075,5.214285714285714
Commons-Configuration,Before CI/CD,1.6.0,259,58,59800,300,7,18,11,1,99,0,165,2,0,0,4,5.016722408026756,0.22393822393822393,5.172413793103448
Commons-Configuration,Before CI/CD,1.8.0,294,68,68878,313,6,5,3,1,105,0,193,0,0,0,6,4.544266674409826,0.23129251700680273,4.602941176470588
Commons-Configuration,Before CI/CD,1.10.0,299,68,69917,319,6,5,3,1,108,0,196,0,0,0,6,4.562552741107313,0.22742474916387959,4.6911764705882355
Commons-Configuration,After CI/CD,2.1.1,486,114,106867,375,6,9,2,2,163,0,191,0,0,0,8,3.509034594402388,0.2345679012345679,3.289473684210526
Commons-Configuration,After CI/CD,2.3.0,492,115,108529,377,6,9,2,2,165,0,191,0,0,0,8,3.4737259165752934,0.23373983739837398,3.2782608695652176
Commons-Configuration,After CI/CD,2.4.0,496,115,109174,378,6,9,2,2,165,0,192,0,0,0,8,3.4623628336417096,0.2318548387096774,3.2869565217391306
Commons-Configuration,After CI/CD,2.5.0,496,115,109455,379,6,9,2,2,165,0,193,0,0,0,8,3.4626102051071217,0.2318548387096774,3.2956521739130435
Commons-Configuration,After CI/CD,2.7.0,496,115,109818,378,6,9,2,2,163,0,194,0,0,0,8,3.4420586789050973,0.2318548387096774,3.2869565217391306
Commons-Configuration,After CI/CD,2.8.0,501,117,90328,397,6,9,2,2,167,0,209,0,0,0,8,4.395093437250908,0.23353293413173654,3.393162393162393
Commons-Configuration,After CI/CD,2.9.0,504,105,89413,409,6,7,2,11,173,0,208,0,0,0,8,4.574278907988771,0.20833333333333334,3.895238095238095
