Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;6.7.0;597;109;65399;483;8;42;17;32;148;0;207;2;1;0;34
After CI/CD;6.6.0;509;107;59784;484;8;42;17;33;144;0;210;2;1;0;35
After CI/CD;6.4.0;497;103;61728;422;8;42;18;10;146;0;168;2;1;0;35
After CI/CD;6.2.0;472;98;59004;404;8;42;18;10;136;0;162;2;1;0;33
After CI/CD;6.1.0;471;98;58955;404;8;42;18;10;136;0;162;2;1;0;33
Before CI/CD;6.0.0;462;98;58287;403;8;42;18;10;136;0;161;2;1;0;33
Before CI/CD;5.2.0;356;83;44485;366;7;38;17;10;110;0;163;2;0;0;26
Before CI/CD;5.1.0;356;84;40296;362;7;38;17;10;111;0;158;2;0;0;26
Before CI/CD;5.0.0;350;80;38727;346;7;40;17;10;104;0;147;2;0;0;26
